epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.814,1.07997,2.60925,1.10506,0.31406,0.48706,0.3019,0.21138,1.06069,36.5359,1.17353,0.0702143,0.00330952,0.00330952
2,211.191,1.04452,1.42905,1.08289,0.62755,0.58896,0.6558,0.50952,0.82286,2.11823,1.00279,0.0401485,0.00657709,0.00657709
3,313.55,0.90608,1.04601,1.02255,0.68541,0.68777,0.76668,0.62276,0.721,1.49745,0.9528,0.0100168,0.00977866,0.00977866
4,413.507,0.86092,0.90643,1.00928,0.68989,0.61036,0.66893,0.56689,0.61805,4.45678,0.90333,0.009703,0.009703,0.009703
5,515.444,0.77478,0.77563,0.97,0.89606,0.8516,0.95131,0.78182,0.68423,0.83972,0.94043,0.009604,0.009604,0.009604
6,615.232,0.73658,0.69309,0.95354,0.87726,0.87744,0.94333,0.82734,0.52071,0.69368,0.86447,0.009505,0.009505,0.009505
7,715.73,0.71462,0.64644,0.94797,0.95577,0.94888,0.97832,0.85135,0.53911,0.53439,0.8683,0.009406,0.009406,0.009406
8,817.827,0.68403,0.61264,0.93172,0.95299,0.92533,0.98171,0.87992,0.47999,0.46886,0.84435,0.009307,0.009307,0.009307
9,917.555,0.68453,0.57507,0.93182,0.95663,0.97012,0.99063,0.84487,0.59429,0.46101,0.88593,0.009208,0.009208,0.009208
10,1017.88,0.65088,0.54053,0.91993,0.94467,0.939,0.98585,0.88279,0.46069,0.55132,0.8412,0.009109,0.009109,0.009109
11,1120.49,0.64377,0.52287,0.91972,0.95361,0.99097,0.99289,0.90046,0.43348,0.38136,0.83494,0.00901,0.00901,0.00901
12,1219.27,0.62975,0.49734,0.91623,0.96137,0.96707,0.98517,0.89742,0.42269,0.38673,0.82401,0.008911,0.008911,0.008911
13,1321,0.6114,0.492,0.90661,0.95575,0.95927,0.98271,0.88933,0.44035,0.41339,0.83238,0.008812,0.008812,0.008812
14,1422.05,0.59753,0.47634,0.90142,0.96852,0.98256,0.99136,0.91217,0.41036,0.36494,0.82215,0.008713,0.008713,0.008713
15,1522.08,0.58764,0.46117,0.90039,0.97577,0.98328,0.99347,0.89311,0.46893,0.34984,0.84927,0.008614,0.008614,0.008614
16,1623.21,0.59098,0.44897,0.9031,0.97549,0.9844,0.99369,0.91439,0.40399,0.33113,0.82374,0.008515,0.008515,0.008515
17,1723.51,0.56835,0.43473,0.89091,0.98304,0.98628,0.99332,0.91246,0.39986,0.31343,0.81985,0.008416,0.008416,0.008416
18,1821.64,0.56895,0.42696,0.88854,0.98056,0.99021,0.99382,0.85077,0.61589,0.36768,0.89507,0.008317,0.008317,0.008317
19,1920.95,0.56705,0.4215,0.89185,0.98173,0.96935,0.99159,0.92496,0.3661,0.32724,0.8111,0.008218,0.008218,0.008218
20,2020.2,0.55195,0.41559,0.88746,0.98671,0.99441,0.99478,0.93124,0.36753,0.28328,0.81115,0.008119,0.008119,0.008119
21,2118.26,0.5479,0.39773,0.8869,0.9838,0.98921,0.99434,0.92677,0.36552,0.28257,0.81005,0.00802,0.00802,0.00802
22,2217.85,0.54896,0.39688,0.88405,0.99077,0.99529,0.99473,0.93253,0.37397,0.27113,0.81142,0.007921,0.007921,0.007921
23,2315.76,0.53297,0.39807,0.88218,0.98331,0.983,0.99383,0.92123,0.3873,0.29883,0.81706,0.007822,0.007822,0.007822
24,2413.45,0.53854,0.39432,0.88047,0.98095,0.98708,0.99332,0.92874,0.35529,0.28587,0.80935,0.007723,0.007723,0.007723
25,2511.94,0.52588,0.37461,0.87717,0.98693,0.99538,0.99473,0.9289,0.36021,0.27204,0.80751,0.007624,0.007624,0.007624
26,2609.2,0.52968,0.37641,0.87896,0.98825,0.99547,0.99436,0.93865,0.338,0.25663,0.80482,0.007525,0.007525,0.007525
27,2706.4,0.51401,0.36953,0.87483,0.97441,0.99307,0.99402,0.93433,0.34915,0.27347,0.80536,0.007426,0.007426,0.007426
28,2807.09,0.51677,0.36863,0.87597,0.96246,0.97248,0.9916,0.93796,0.34406,0.30415,0.80452,0.007327,0.007327,0.007327
29,2905.42,0.51231,0.36226,0.87288,0.98787,0.99461,0.9949,0.93827,0.34451,0.25394,0.80404,0.007228,0.007228,0.007228
30,3006.8,0.50143,0.35588,0.8666,0.98956,0.99011,0.99447,0.9387,0.35257,0.2531,0.80467,0.007129,0.007129,0.007129
31,3106.32,0.49861,0.35361,0.86808,0.98891,0.99524,0.99435,0.93627,0.35237,0.24313,0.80566,0.00703,0.00703,0.00703
32,3204.4,0.49482,0.35113,0.86908,0.98824,0.99655,0.99497,0.94198,0.33218,0.23816,0.80076,0.006931,0.006931,0.006931
33,3306.13,0.49516,0.34024,0.86714,0.9919,0.99672,0.99484,0.93864,0.35011,0.24152,0.80411,0.006832,0.006832,0.006832
34,3403.04,0.48521,0.33946,0.86416,0.99213,0.99697,0.9949,0.94574,0.32516,0.23501,0.79856,0.006733,0.006733,0.006733
35,3502.58,0.4824,0.33556,0.86359,0.98816,0.99463,0.99428,0.94211,0.34176,0.23504,0.80257,0.006634,0.006634,0.006634
36,3601.8,0.47904,0.33019,0.86173,0.99249,0.99458,0.99456,0.94236,0.33145,0.23196,0.8014,0.006535,0.006535,0.006535
37,3700.4,0.47979,0.32376,0.8618,0.99373,0.99388,0.99432,0.94826,0.32363,0.22318,0.79926,0.006436,0.006436,0.006436
38,3799.92,0.47553,0.32269,0.86218,0.99109,0.99785,0.99477,0.94718,0.31748,0.21854,0.79602,0.006337,0.006337,0.006337
39,3896.96,0.47276,0.32505,0.85934,0.98208,0.99546,0.99497,0.94614,0.32518,0.22493,0.7966,0.006238,0.006238,0.006238
40,3994.49,0.47199,0.32032,0.8592,0.98996,0.99804,0.99431,0.94832,0.31759,0.2198,0.79578,0.006139,0.006139,0.006139
41,4095.38,0.46374,0.31073,0.85662,0.99353,0.99674,0.99499,0.94979,0.3103,0.21074,0.79417,0.00604,0.00604,0.00604
42,4192.8,0.46143,0.31175,0.85543,0.99358,0.99651,0.99432,0.94987,0.30974,0.21118,0.79591,0.005941,0.005941,0.005941
43,4291.17,0.45222,0.3059,0.85256,0.9932,0.99565,0.99431,0.9517,0.30631,0.21019,0.79387,0.005842,0.005842,0.005842
44,4391.61,0.46086,0.30926,0.85352,0.99177,0.99337,0.99418,0.95071,0.3099,0.21155,0.79457,0.005743,0.005743,0.005743
45,4489.7,0.4576,0.305,0.85468,0.98908,0.99759,0.99472,0.95597,0.29733,0.20021,0.78995,0.005644,0.005644,0.005644
46,4591.18,0.45796,0.30207,0.85301,0.99382,0.99236,0.99473,0.95979,0.30152,0.20532,0.79246,0.005545,0.005545,0.005545
