epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.403,1.21861,2.65752,1.27428,0.40122,0.56085,0.45371,0.33886,0.96264,26.5183,1.1658,0.070098,0.00332244,0.00332244
2,245.512,1.13849,1.55692,1.27696,0.42602,0.51385,0.50436,0.35563,1.09406,2.50069,1.25664,0.0400321,0.00658988,0.00658988
3,300.59,1.05464,1.22757,1.2503,0.87994,0.77778,0.89835,0.71091,0.74957,1.30327,1.06305,0.00990025,0.00979132,0.00979132
4,354.901,0.93907,1.00034,1.17095,0.81245,0.75017,0.86967,0.73084,0.63956,1.02245,0.98697,0.009703,0.009703,0.009703
5,409.483,0.85489,0.88798,1.11861,0.87135,0.83613,0.93685,0.79366,0.61238,0.8668,0.98757,0.009604,0.009604,0.009604
6,463.932,0.79115,0.78618,1.0794,0.93022,0.91207,0.97771,0.83895,0.57666,0.62291,0.9607,0.009505,0.009505,0.009505
7,518.316,0.7744,0.72911,1.0656,0.93962,0.95308,0.97832,0.85654,0.52422,0.52277,0.92981,0.009406,0.009406,0.009406
8,572.463,0.73878,0.6651,1.05053,0.9588,0.94833,0.98565,0.88453,0.47204,0.55073,0.92095,0.009307,0.009307,0.009307
9,626.955,0.71688,0.63269,1.03384,0.94162,0.95924,0.98469,0.88537,0.45721,0.49579,0.91021,0.009208,0.009208,0.009208
10,681.79,0.69232,0.61085,1.02063,0.97089,0.97309,0.98992,0.88493,0.46584,0.43888,0.91232,0.009109,0.009109,0.009109
11,736.018,0.68333,0.59472,1.01458,0.97638,0.96982,0.98966,0.88092,0.4741,0.42941,0.91949,0.00901,0.00901,0.00901
12,790.611,0.67535,0.5679,1.01834,0.96325,0.96812,0.99047,0.8839,0.47551,0.41445,0.89845,0.008911,0.008911,0.008911
13,844.86,0.65391,0.53216,0.99477,0.96787,0.96916,0.99115,0.88288,0.49373,0.42784,0.90906,0.008812,0.008812,0.008812
14,898.719,0.64349,0.52697,0.99637,0.98126,0.98422,0.99303,0.904,0.43635,0.36969,0.89027,0.008713,0.008713,0.008713
15,953.063,0.62775,0.51077,0.98541,0.96639,0.964,0.99032,0.90286,0.42949,0.39504,0.87456,0.008614,0.008614,0.008614
16,1007.26,0.62861,0.50465,0.98197,0.97434,0.98643,0.99193,0.90028,0.44546,0.35232,0.88311,0.008515,0.008515,0.008515
